Time,Event Time,State at A,State at B,Comment
s,s,State,State,

0,0.00000,0,1,
0.043544,0.04354,1,1,
0.073224,0.07322,1,0,
0.10576,0.10576,0,0,
0.56552,0.56552,0,1,
0.630352,0.63035,0,0,
0.642552,0.64255,1,0,
0.715208,0.71521,0,0,
1.1591679,1.15917,1,0,
1.2143359,1.21434,1,1,
1.234608,1.23461,0,1,
1.2767279,1.27673,0,0,
1.745552,1.74555,1,0,
1.790368,1.79037,1,1,
1.812128,1.81213,0,1,
1.859256,1.85926,0,0,
2.334672,2.33467,1,0,
2.384912,2.38491,1,1,
2.394536,2.39454,0,1,
2.463872,2.46387,0,0,
2.889936,2.88994,0,1,
2.967472,2.96747,0,0,
2.972736,2.97274,1,0,
3.033896,3.03390,0,0,
3.504912,3.50491,0,1,
3.54676,3.54676,1,1,
3.571928,3.57193,1,0,
3.61556,3.61556,0,0,
4.0921839,4.09218,0,1,
4.1166159,4.11662,1,1,
4.154712,4.15471,1,0,
4.1924399,4.19244,0,0,
4.6420959,4.64210,1,0,
4.713624,4.71362,0,0,
4.73548,4.73548,0,1,
4.8024319,4.80243,0,0,
5.2603279,5.26033,1,0,
5.2811519,5.28115,1,1,
5.3218239,5.32182,0,1,
5.3570719,5.35707,0,0,
5.8558319,5.85583,0,1,
5.862064,5.86206,1,1,
5.9216,5.92160,0,1,
5.9351199,5.93512,0,0,
6.386328,6.38633,0,1,
6.457936,6.45794,0,0,
6.4873199,6.48732,1,0,
6.5544,6.55440,0,0,
7.026696,7.02670,0,1,
7.027456,7.02746,1,1,
7.089816,7.08982,1,0,
7.10236,7.10236,0,0,
7.590304,7.59030,1,0,
7.617064,7.61706,1,1,
7.66364,7.66364,0,1,
7.6813999,7.68140,0,0,
8.149904,8.14990,1,0,
8.21492,8.21492,0,0,
8.240632,8.24063,0,1,
8.3149439,8.31494,0,0,
8.7533919,8.75339,0,1,
8.7864879,8.78649,1,1,
8.833528,8.83353,1,0,
8.8461919,8.84619,0,0,
9.3384399,9.33844,0,1,
9.382608,9.38261,1,1,
9.4127119,9.41271,1,0,
9.4458639,9.44586,0,0,
9.904288,9.90429,0,1,
9.9700239,9.97002,0,0,
9.9812559,9.98126,1,0,
10.0552319,10.05523,0,0,
10.497048,10.49705,1,0,
10.5539359,10.55394,1,1,
10.5736879,10.57369,0,1,
10.6172879,10.61729,0,0,
11.0844159,11.08442,1,0,
11.1292559,11.12926,1,1,
11.1519039,11.15190,0,1,
11.199328,11.19933,0,0,
11.6739199,11.67392,1,0,
11.723728,11.72373,1,1,
11.7346479,11.73465,0,1,
11.8040479,11.80405,0,0,
12.2280159,12.22802,0,1,
12.3067439,12.30674,0,0,
12.3124719,12.31247,1,0,
12.3746079,12.37461,0,0,
12.8442879,12.84429,0,1,
12.8857119,12.88571,1,1,
12.9121839,12.91218,1,0,
12.9557279,12.95573,0,0,
13.431648,13.43165,0,1,
13.455256,13.45526,1,1,
13.4950319,13.49503,1,0,
13.5323679,13.53237,0,0,
13.9806,13.98060,1,0,
14.053192,14.05319,0,0,
14.0754239,14.07542,0,1,
14.143496,14.14350,0,0,
14.599904,14.59990,1,0,
14.6198799,14.61988,1,1,
14.6622719,14.66227,0,1,
14.697192,14.69719,0,0,
15.1946799,15.19468,0,1,
15.2016799,15.20168,1,1,
15.2621839,15.26218,0,1,
15.275296,15.27530,0,0,
15.7249919,15.72499,0,1,
15.797704,15.79770,0,0,
15.827032,15.82703,1,0,
15.895376,15.89538,0,0,
16.365896,16.36590,1,0,
16.36648,16.36648,1,1,
16.4305999,16.43060,1,0,
