Time,Event Time,State at A,State at B,Comment
s,s,State,State,

0,0.00000,1,0,
0.025976,0.02598,0,0,
0.0584,0.05840,0,1,
0.084296,0.08430,0,0,
0.71216,0.71216,1,0,
0.735272,0.73527,0,0,
0.77072,0.77072,0,1,
0.800136,0.80014,0,0,
1.436776,1.43678,0,1,
1.464648,1.46465,1,1,
1.4670239,1.46702,1,0,
1.4871439,1.48714,0,0,
2.1262,2.12620,0,1,
2.1538399,2.15384,0,0,
2.1944079,2.19441,1,0,
2.218832,2.21883,0,0,
2.8540479,2.85405,0,1,
2.879432,2.87943,0,0,
2.8960399,2.89604,1,0,
2.922856,2.92286,0,0,
3.556912,3.55691,1,0,
3.583784,3.58378,0,0,
3.6048239,3.60482,0,1,
3.6302159,3.63022,0,0,
4.263968,4.26397,1,0,
4.28836,4.28836,0,0,
4.328232,4.32823,0,1,
4.356224,4.35622,0,0,
4.998184,4.99818,1,0,
5.012656,5.01266,1,1,
5.020632,5.02063,0,1,
5.043448,5.04345,0,0,
5.680952,5.68095,0,1,
5.71048,5.71048,0,0,
5.748768,5.74877,1,0,
5.772232,5.77223,0,0,
6.399416,6.39942,0,1,
6.425432,6.42543,0,0,
6.455792,6.45579,1,0,
6.482208,6.48221,0,0,
7.134304,7.13430,1,0,
7.142416,7.14242,1,1,
7.161792,7.16179,0,1,
7.167544,7.16754,0,0,
7.81044,7.81044,1,0,
7.835856,7.83586,0,0,
7.88456,7.88456,0,1,
7.911728,7.91173,0,0,
8.544112,8.54411,1,0,
8.567288,8.56729,0,0,
8.5804639,8.58046,0,1,
8.6103919,8.61039,0,0,
9.250608,9.25061,0,1,
9.281008,9.28101,0,0,
9.285776,9.28578,1,0,
9.308728,9.30873,0,0,
9.94304,9.94304,0,1,
9.9708,9.97080,0,0,
10.02136,10.02136,1,0,
10.046584,10.04658,0,0,
10.684408,10.68441,0,1,
10.699688,10.69969,1,1,
10.709624,10.70962,1,0,
10.7275119,10.72751,0,0,
11.376784,11.37678,1,0,
11.403672,11.40367,0,0,
11.428104,11.42810,0,1,
11.454176,11.45418,0,0,
12.081576,12.08158,1,0,
12.105488,12.10549,0,0,
12.148768,12.14877,0,1,
12.178296,12.17830,0,0,
12.818904,12.81890,0,1,
12.831688,12.83169,1,1,
12.849888,12.84989,1,0,
12.854592,12.85459,0,0,
13.500576,13.50058,0,1,
13.529456,13.52946,0,0,
13.566648,13.56665,1,0,
13.591072,13.59107,0,0,
14.221656,14.22166,0,1,
14.247928,14.24793,0,0,
14.276328,14.27633,1,0,
14.303408,14.30341,0,0,
14.937272,14.93727,1,0,
14.965104,14.96510,0,0,
14.972552,14.97255,0,1,
14.998152,14.99815,0,0,
15.635824,15.63582,1,0,
15.6612559,15.66126,0,0,
15.702744,15.70274,0,1,
15.730736,15.73074,0,0,
16.365128,16.36513,1,0,
16.388184,16.38818,0,0,
16.394696,16.39470,0,1,
16.4259999,16.42600,0,0,
17.0589279,17.05893,0,1,
17.089488,17.08949,0,0,
17.118056,17.11806,1,0,
17.141696,17.14170,0,0,
17.7688719,17.76887,0,1,
17.795952,17.79595,0,0,
17.8328719,17.83287,1,0,
17.859376,17.85938,0,0,
18.5089839,18.50898,0,1,
18.516312,18.51631,1,1,
18.534688,18.53469,1,0,
18.544448,18.54445,0,0,
19.185088,19.18509,1,0,
19.211672,19.21167,0,0,
19.255472,19.25547,0,1,
19.282656,19.28266,0,0,
19.912,19.91200,1,0,
19.9360399,19.93604,0,0,
19.9599279,19.95993,0,1,
19.990088,19.99009,0,0,
20.6314159,20.63142,0,1,
