Time,Event Time,State at A,State at B,Comment
s,s,State,State,

0,0.000000,0,1,
0.0241199,0.024120,0,0,
1.5676639,1.567664,0,1,
1.5934879,1.593488,1,1,
1.6718479,1.671848,1,0,
1.676552,1.676552,0,0,
2.579656,2.579656,0,1,
2.5961999,2.596200,1,1,
2.6786719,2.678672,0,1,
2.6851679,2.685168,0,0,
3.64588,3.645880,1,0,
3.661336,3.661336,1,1,
3.729656,3.729656,0,1,
3.7651519,3.765152,0,0,
4.6486799,4.648680,1,0,
4.6727359,4.672736,1,1,
4.7338559,4.733856,0,1,
4.7749759,4.774976,0,0,
5.702304,5.702304,1,0,
5.7473119,5.747312,1,1,
5.7902639,5.790264,0,1,
5.8461039,5.846104,0,0,
6.7089039,6.708904,1,0,
6.753072,6.753072,1,1,
6.799792,6.799792,0,1,
6.84868,6.848680,0,0,
7.771816,7.771816,1,0,
7.8167359,7.816736,1,1,
7.8663519,7.866352,0,1,
7.909272,7.909272,0,0,
8.7849119,8.784912,1,0,
8.816272,8.816272,1,1,
8.8824879,8.882488,0,1,
8.8825519,8.882552,1,1,
8.9067519,8.906752,0,0,
9.8578799,9.857880,1,0,
9.872456,9.872456,1,1,
9.9570319,9.957032,0,1,
9.962256,9.962256,0,0,
10.869032,10.869030,0,1,
10.87548,10.875480,1,1,
10.958752,10.958750,1,0,
10.975296,10.975300,0,0,
11.924104,11.924100,0,1,
11.950256,11.950260,1,1,
12.015656,12.015660,1,0,
12.0480479,12.048050,0,0,
12.9214959,12.921500,0,1,
12.9655679,12.965570,1,1,
13.0151119,13.015110,1,0,
13.0611439,13.061140,0,0,
13.9826799,13.982680,0,1,
14.032128,14.032130,1,1,
14.080144,14.080140,1,0,
14.124392,14.124390,0,0,
14.9849359,14.984940,0,1,
15.0418719,15.041870,1,1,
15.0861199,15.086120,1,0,
15.131448,15.131450,0,0,
16.056912,16.056910,0,1,
16.097568,16.097570,1,1,
16.1621679,16.162170,1,0,
16.185128,16.185130,0,0,
17.0654079,17.065410,0,1,
17.100952,17.100950,1,1,
17.1737119,17.173710,1,0,
17.18696,17.186960,0,0,
18.1473759,18.147380,0,1,
18.151552,18.151550,1,1,
18.237664,18.237660,0,1,
18.256432,18.256430,0,0,
19.152936,19.152940,1,0,
19.159,19.159000,1,1,
19.239504,19.239500,0,1,
19.26764,19.267640,0,0,
20.204472,20.204470,1,0,
20.239576,20.239580,1,1,
20.2932479,20.293250,0,1,
20.345088,20.345090,0,0,
21.2078159,21.207820,1,0,
21.2472079,21.247210,1,1,
21.299024,21.299020,0,1,
21.3495679,21.349570,0,0,
22.2665279,22.266530,1,0,
22.317024,22.317020,1,1,
22.3614879,22.361490,0,1,
22.4156479,22.415650,0,0,
23.2753279,23.275330,1,0,
23.317832,23.317830,1,1,
23.373856,23.373860,0,1,
23.4135199,23.413520,0,0,
24.3452159,24.345220,1,0,
24.3776239,24.377620,1,1,
24.4468879,24.446890,0,1,
24.4714959,24.471500,0,0,
25.360328,25.360330,1,0,
25.373576,25.373580,1,1,
25.4641759,25.464180,0,1,
25.4667439,25.466740,0,0,
26.4291519,26.429150,0,1,
26.4372,26.437200,1,1,
26.5228719,26.522870,1,0,
26.5405759,26.540580,0,0,
27.4243119,27.424310,0,1,
27.45336,27.453360,1,1,
27.518888,27.518890,1,0,
27.55528,27.555280,0,0,
28.482448,28.482450,0,1,
28.525448,28.525450,1,1,
28.58028,28.580280,1,0,
28.6242399,28.624240,0,0,
29.478632,29.478630,0,1,
29.5361359,29.536140,1,1,
29.580936,29.580940,1,0,
