Time,Event Time,State at A,State at B,Comment
s,s,State,State,

0,0.00000,0,1,
0.1033119,0.10331,0,0,
0.1081759,0.10818,1,0,
0.2159839,0.21598,0,0,
2.135104,2.13510,1,0,
2.213336,2.21334,1,1,
2.23388,2.23388,0,1,
2.3283759,2.32838,0,0,
4.170392,4.17039,0,1,
4.172024,4.17202,1,1,
4.266864,4.26686,1,0,
4.29192,4.29192,0,0,
6.2676479,6.26765,0,1,
6.306424,6.30642,1,1,
6.382112,6.38211,1,0,
6.4067999,6.40680,0,0,
8.2676639,8.26766,1,0,
8.3135439,8.31354,1,1,
8.372328,8.37233,0,1,
8.4222399,8.42224,0,0,
10.4029759,10.40298,0,1,
10.4113999,10.41140,1,1,
10.5005599,10.50056,1,0,
10.5300879,10.53009,0,0,
12.3710239,12.37102,0,1,
12.437216,12.43722,1,1,
12.4896,12.48960,1,0,
12.53572,12.53572,0,0,
14.4705279,14.47053,1,0,
14.5751679,14.57517,1,1,
14.5851599,14.58516,0,1,
14.674632,14.67463,0,0,
16.476424,16.47642,0,1,
16.578552,16.57855,1,1,
16.578824,16.57882,1,0,
16.689968,16.68997,0,0,
18.614792,18.61479,1,0,
18.679704,18.67970,1,1,
18.713616,18.71362,0,1,
18.797872,18.79787,0,0,
20.636776,20.63678,1,0,
20.649272,20.64927,1,1,
20.74724,20.74724,1,0,
20.75696,20.75696,0,0,
22.738112,22.73811,0,1,
22.783344,22.78334,1,1,
22.851424,22.85142,1,0,
22.886208,22.88621,0,0,
24.743672,24.74367,1,0,
24.781768,24.78177,1,1,
24.8476399,24.84764,0,1,
24.893928,24.89393,0,0,
26.876496,26.87650,1,0,
26.882856,26.88286,1,1,
26.980616,26.98062,1,0,
26.998064,26.99806,0,0,
28.835904,28.83590,0,1,
28.915848,28.91585,1,1,
28.954216,28.95422,1,0,
29.016016,29.01602,0,0,
30.941984,30.94198,1,0,
31.052024,31.05202,1,1,
31.055264,31.05526,0,1,
31.154296,31.15430,0,0,
32.953448,32.95345,0,1,
33.047312,33.04731,1,1,
33.0553839,33.05539,1,0,
33.162088,33.16209,0,0,
35.09444,35.09444,1,0,
35.144608,35.14461,1,1,
35.1937039,35.19370,0,1,
35.2656319,35.26563,0,0,
37.102448,37.10245,1,0,
37.127496,37.12749,1,1,
37.2227279,37.22273,0,1,
37.227376,37.22738,0,0,
39.209416,39.20942,0,1,
39.2583599,39.25836,1,1,
39.321576,39.32158,1,0,
39.36428,39.36428,0,0,
41.221272,41.22127,1,0,
41.248776,41.24878,1,1,
41.324976,41.32498,0,1,
41.364632,41.36463,0,0,
43.340648,43.34065,1,0,
43.363112,43.36311,1,1,
43.4614,43.46140,1,0,
43.464808,43.46481,0,0,
45.302472,45.30247,0,1,
45.394328,45.39433,1,1,
45.420552,45.42055,1,0,
45.4966,45.49660,0,0,
47.414688,47.41469,1,0,
47.526936,47.52694,0,0,
47.527512,47.52751,0,1,
47.633032,47.63303,0,0,
49.431472,49.43147,0,1,
49.5144,49.51440,1,1,
49.533248,49.53325,1,0,
49.6328559,49.63285,0,0,
51.574304,51.57430,1,0,
51.608848,51.60885,1,1,
51.674552,51.67455,0,1,
51.732544,51.73254,0,0,
53.569384,53.56939,1,0,
53.60468,53.60468,1,1,
53.689264,53.68926,0,1,
53.707096,53.70710,0,0,
55.68248,55.68248,0,1,
55.732184,55.73219,1,1,
55.793568,55.79357,1,0,
55.841568,55.84157,0,0,
57.69944,57.69944,1,0,
57.714,57.71400,1,1,
57.803088,57.80309,0,1,
57.833568,57.83357,0,0,
59.804088,59.80409,1,0,
