Time,Event Time,State at A,State at B,Comment
s,s,State,State,

0,0.000000,1,0,
0.0040399,0.004040,1,1,
0.0302959,0.030296,1,0,
0.031416,0.031416,0,0,
0.4135999,0.413600,1,0,
0.4428639,0.442864,0,0,
0.451272,0.451272,0,1,
0.4791919,0.479192,0,0,
0.854136,0.854136,1,0,
0.880152,0.880152,0,0,
0.895664,0.895664,0,1,
0.9272319,0.927232,0,0,
1.290424,1.290424,0,1,
1.319216,1.319216,1,1,
1.322832,1.322832,1,0,
1.3446399,1.344640,0,0,
1.724912,1.724912,0,1,
1.754376,1.754376,0,0,
1.76784,1.767840,1,0,
1.795824,1.795824,0,0,
2.1672719,2.167272,0,1,
2.190104,2.190104,1,1,
2.194096,2.194096,1,0,
2.221592,2.221592,0,0,
2.5915679,2.591568,1,0,
2.622376,2.622376,0,0,
2.637568,2.637568,0,1,
2.665024,2.665024,0,0,
3.0318559,3.031856,1,0,
3.058656,3.058656,0,0,
3.0664879,3.066488,0,1,
3.0975919,3.097592,0,0,
3.48844,3.488440,0,1,
3.48968,3.489680,1,1,
3.514984,3.514984,0,1,
3.521648,3.521648,0,0,
3.892224,3.892224,0,1,
3.9228239,3.922824,0,0,
3.9491679,3.949168,1,0,
3.977008,3.977008,0,0,
4.3514079,4.351408,0,1,
4.3721599,4.372160,1,1,
4.378736,4.378736,1,0,
4.4034319,4.403432,0,0,
4.7792639,4.779264,1,0,
4.8017999,4.801800,1,1,
4.810592,4.810592,0,1,
4.829184,4.829184,0,0,
5.20412,5.204120,1,0,
5.2322079,5.232208,0,0,
5.259168,5.259168,0,1,
5.2897839,5.289784,0,0,
5.6616319,5.661632,0,1,
5.6654159,5.665416,1,1,
5.6911119,5.691112,0,1,
5.6949679,5.694968,0,0,
6.0841759,6.084176,0,1,
6.116,6.116000,0,0,
6.1224159,6.122416,1,0,
6.1494479,6.149448,0,0,
6.514816,6.514816,0,1,
6.5430319,6.543032,0,0,
6.55988,6.559880,1,0,
6.5911599,6.591160,0,0,
6.960336,6.960336,1,0,
6.986112,6.986112,1,1,
6.992968,6.992968,0,1,
7.0133439,7.013344,0,0,
7.384552,7.384552,1,0,
7.413536,7.413536,0,0,
7.426976,7.426976,0,1,
7.4570959,7.457096,0,0,
7.835368,7.835368,1,0,
7.860056,7.860056,1,1,
7.861496,7.861496,0,1,
7.893712,7.893712,0,0,
8.253896,8.253896,0,1,
8.286712,8.286712,0,0,
8.300552,8.300552,1,0,
8.327528,8.327528,0,0,
8.700576,8.700576,0,1,
8.72968,8.729680,0,0,
8.738976,8.738976,1,0,
8.769416,8.769416,0,0,
9.14888,9.148880,0,1,
9.150336,9.150336,1,1,
9.176368,9.176368,1,0,
9.183176,9.183176,0,0,
9.559296,9.559296,1,0,
9.589864,9.589864,0,0,
9.615824,9.615824,0,1,
9.645336,9.645336,0,0,
10.011448,10.011450,1,0,
10.031952,10.031950,1,1,
10.0382,10.038200,0,1,
10.065352,10.065350,0,0,
10.44996,10.449960,0,1,
10.471472,10.471470,1,1,
10.48388,10.483880,1,0,
10.497968,10.497970,0,0,
10.865168,10.865170,0,1,
10.895424,10.895420,0,0,
10.92312,10.923120,1,0,
10.953408,10.953410,0,0,
11.33256,11.332560,0,1,
11.332912,11.332910,1,1,
11.360248,11.360250,1,0,
11.366176,11.366180,0,0,
11.743752,11.743750,1,0,
11.775088,11.775090,0,0,
11.780832,11.780830,0,1,
11.810008,11.810010,0,0,
12.181832,12.181830,1,0,
12.209512,12.209510,0,0,
12.228128,12.228130,0,1,
12.261272,12.261270,0,0,
