Time,Event Time,State at A,State at B,Comment
s,s,State,State,

0,0.00000,0,1,
0.006736,0.00674,1,1,
0.100192,0.10019,1,0,
0.110456,0.11046,0,0,
1.894024,1.89402,0,1,
1.89656,1.89656,1,1,
1.9968239,1.99682,0,1,
1.9983519,1.99835,0,0,
3.7186799,3.71868,1,0,
3.720664,3.72066,1,1,
3.820032,3.82003,0,1,
3.824168,3.82417,0,0,
5.610312,5.61031,1,0,
5.613216,5.61322,1,1,
5.71392,5.71392,0,1,
5.714072,5.71407,0,0,
7.4265519,7.42655,0,1,
7.441752,7.44175,1,1,
7.531472,7.53147,1,0,
7.542704,7.54270,0,0,
9.317192,9.31719,1,0,
9.340296,9.34030,1,1,
9.421384,9.42138,0,1,
9.441592,9.44159,0,0,
11.138968,11.13897,0,1,
11.160824,11.16082,1,1,
11.24072,11.24072,1,0,
11.264744,11.26474,0,0,
13.0366559,13.03666,1,0,
13.0516,13.05160,1,1,
13.13796,13.13796,0,1,
13.1567519,13.15675,0,0,
14.865664,14.86566,0,1,
14.868232,14.86823,1,1,
14.966944,14.96694,1,0,
14.972696,14.97270,0,0,
16.756408,16.75641,0,1,
16.7611199,16.76112,1,1,
16.861176,16.86118,1,0,
16.862952,16.86295,0,0,
18.5824639,18.58246,1,0,
18.5831519,18.58315,1,1,
18.684272,18.68427,0,1,
18.688424,18.68842,0,0,
20.471752,20.47175,1,0,
20.479104,20.47910,1,1,
20.576832,20.57683,0,1,
20.58052,20.58052,0,0,
22.28708,22.28708,0,1,
22.3073999,22.30740,1,1,
22.392672,22.39267,1,0,
22.4097039,22.40970,0,0,
24.1798879,24.17989,1,0,
24.204984,24.20498,1,1,
24.28452,24.28452,0,1,
24.307944,24.30794,0,0,
26.003624,26.00362,0,1,
26.023424,26.02342,1,1,
26.1058,26.10580,1,0,
26.128968,26.12897,0,0,
27.902704,27.90270,1,0,
27.913176,27.91318,1,1,
28.004728,28.00473,0,1,
28.019784,28.01978,0,0,
29.730712,29.73071,1,0,
29.730736,29.73074,1,1,
29.833464,29.83346,1,0,
29.835888,29.83589,0,0,
31.620512,31.62051,0,1,
31.6253279,31.62533,1,1,
31.725696,31.72570,1,0,
31.728688,31.72869,0,0,
33.445344,33.44534,0,1,
33.4473039,33.44730,1,1,
33.549976,33.54998,0,1,
33.551888,33.55189,0,0,
35.3336479,35.33365,1,0,
35.345408,35.34541,1,1,
35.439976,35.43998,0,1,
35.44788,35.44788,0,0,
37.1493759,37.14938,0,1,
37.1717919,37.17179,1,1,
37.256032,37.25603,1,0,
37.275768,37.27577,0,0,
39.043376,39.04338,1,0,
39.06796,39.06796,1,1,
39.14884,39.14884,0,1,
39.172896,39.17290,0,0,
40.868696,40.86869,0,1,
40.8859039,40.88590,1,1,
40.9718159,40.97182,1,0,
40.99284,40.99284,0,0,
42.768104,42.76810,1,0,
42.775016,42.77502,1,1,
42.871248,42.87125,0,1,
42.882968,42.88297,0,0,
44.593928,44.59393,1,0,
44.595752,44.59575,1,1,
44.6996959,44.69970,0,1,
44.700384,44.70038,0,0,
46.48576,46.48576,0,1,
46.4892399,46.48924,1,1,
46.591488,46.59149,1,0,
46.5942239,46.59422,0,0,
48.3071599,48.30716,0,1,
48.313576,48.31358,1,1,
48.415408,48.41541,1,0,
48.41692,48.41692,0,0,
50.196472,50.19647,1,0,
50.212328,50.21233,1,1,
50.30392,50.30392,0,1,
50.315712,50.31571,0,0,
52.012848,52.01285,0,1,
52.0375359,52.03754,1,1,
52.1193839,52.11938,1,0,
52.14248,52.14248,0,0,
