Time,Event Time,State at A,State at B,Comment
s,s,State,State,

0,0.00000,1,0,
0.041376,0.04138,1,1,
0.142552,0.14255,1,0,
0.162376,0.16238,0,0,
1.369472,1.36947,0,1,
1.4588319,1.45883,1,1,
1.507216,1.50722,1,0,
1.571672,1.57167,0,0,
2.685248,2.68525,1,0,
2.800704,2.80070,1,1,
2.810672,2.81067,0,1,
2.918488,2.91849,0,0,
4.1104559,4.11046,0,1,
4.1685359,4.16854,1,1,
4.214376,4.21438,1,0,
4.3209199,4.32092,0,0,
5.4419919,5.44199,0,1,
5.4691439,5.46914,1,1,
5.5806319,5.58063,0,1,
5.5883359,5.58834,0,0,
6.808048,6.80805,1,0,
6.88648,6.88648,1,1,
6.949448,6.94945,0,1,
6.996024,6.99602,0,0,
8.1547519,8.15475,0,1,
8.196912,8.19691,1,1,
8.2640959,8.26410,1,0,
8.340928,8.34093,0,0,
9.558432,9.55843,0,1,
9.572128,9.57213,1,1,
9.683544,9.68354,0,1,
9.706256,9.70626,0,0,
10.826056,10.82606,1,0,
10.9359759,10.93598,1,1,
10.977184,10.97718,0,1,
11.041464,11.04146,0,0,
12.2312,12.23120,0,1,
12.3386159,12.33862,1,1,
12.349376,12.34938,1,0,
12.4669839,12.46698,0,0,
13.5795439,13.57954,1,0,
13.639352,13.63935,1,1,
13.693656,13.69366,0,1,
13.7799919,13.77999,0,0,
14.981616,14.98162,1,0,
15.008104,15.00810,1,1,
15.110952,15.11095,1,0,
15.1472399,15.14724,0,0,
16.28596,16.28596,0,1,
16.355272,16.35527,1,1,
16.4144559,16.41446,1,0,
16.4780239,16.47802,0,0,
17.685776,17.68578,1,0,
17.747224,17.74722,1,1,
17.807744,17.80774,0,1,
17.876576,17.87658,0,0,
19.011488,19.01149,1,0,
19.051472,19.05147,1,1,
19.155096,19.15510,1,0,
19.177712,19.17771,0,0,
20.381528,20.38153,0,1,
20.47,20.47000,1,1,
20.5233439,20.52334,1,0,
20.5851839,20.58518,0,0,
21.6947759,21.69478,1,0,
21.8118719,21.81187,1,1,
21.8237199,21.82372,0,1,
21.931832,21.93183,0,0,
23.1208399,23.12084,0,1,
23.1818879,23.18189,1,1,
23.227432,23.22743,1,0,
23.336896,23.33690,0,0,
24.454448,24.45445,0,1,
24.4789359,24.47894,1,1,
24.592736,24.59274,0,1,
24.6042719,24.60427,0,0,
25.81992,25.81992,1,0,
25.897568,25.89757,1,1,
25.965688,25.96569,0,1,
26.00912,26.00912,0,0,
27.165296,27.16530,0,1,
27.208632,27.20863,1,1,
27.277552,27.27755,1,0,
27.355072,27.35507,0,0,
28.5715519,28.57155,0,1,
28.583056,28.58306,1,1,
28.697144,28.69714,0,1,
28.7226,28.72260,0,0,
29.836968,29.83697,1,0,
29.946592,29.94659,1,1,
29.992464,29.99246,0,1,
30.054312,30.05431,0,0,
31.24264,31.24264,0,1,
31.3508319,31.35083,1,1,
31.364408,31.36441,1,0,
31.481528,31.48153,0,0,
32.589184,32.58918,1,0,
32.651776,32.65178,1,1,
32.706232,32.70623,0,1,
32.794648,32.79465,0,0,
33.995064,33.99506,1,0,
34.0188,34.01880,1,1,
34.124072,34.12407,1,0,
34.164872,34.16487,0,0,
35.297288,35.29729,0,1,
35.365816,35.36581,1,1,
35.42956,35.42956,1,0,
35.490888,35.49089,0,0,
36.696976,36.69698,1,0,
36.759864,36.75986,1,1,
36.82228,36.82228,0,1,
36.890968,36.89097,0,0,
38.023936,38.02394,1,0,
38.061568,38.06157,1,1,
38.167904,38.16790,1,0,
38.193752,38.19375,0,0,
